Calibrated Probability,Risk Category
0.017700255662202836,Low Risk
1.0,Critical Risk
0.3748627483844757,Medium Risk
0.5004168152809143,High Risk
0.8706909060478211,Critical Risk
0.9450667262077331,Critical Risk
0.17747325152158738,Low Risk
0.06527945846319198,Low Risk
0.7850807964801788,High Risk
0.9631266474723816,Critical Risk
0.5165540933609009,High Risk
0.2680413246154785,Medium Risk
0.796027398109436,High Risk
0.23029742240905762,Medium Risk
0.4519038796424866,Medium Risk
0.17719962298870087,Low Risk
0.5595949351787567,High Risk
0.45234116315841677,Medium Risk
0.0726971983909607,Low Risk
0.08368155062198639,Low Risk
0.13270935118198396,Low Risk
0.9039710521697998,Critical Risk
1.0,Critical Risk
0.0,Low Risk
0.8447144508361817,Critical Risk
0.08530688136816025,Low Risk
0.9658349514007568,Critical Risk
0.4510851204395294,Medium Risk
0.5829625487327575,High Risk
0.20872833728790283,Medium Risk
0.09875742495059966,Low Risk
0.6152554512023926,High Risk
1.0,Critical Risk
0.09402478262782096,Low Risk
0.9265989422798157,Critical Risk
0.08440346568822861,Low Risk
0.4194620430469513,Medium Risk
0.3737596333026886,Medium Risk
0.1047537587583065,Low Risk
0.9151651382446289,Critical Risk
1.0,Critical Risk
0.140760600566864,Low Risk
0.3490567147731781,Medium Risk
0.14582757651805878,Low Risk
0.9845200181007385,Critical Risk
0.15099746435880662,Low Risk
1.0,Critical Risk
1.0,Critical Risk
0.26815429180860517,Medium Risk
0.4745435416698456,Medium Risk
0.6134283319115639,High Risk
0.3067127585411072,Medium Risk
0.8609334588050842,Critical Risk
0.5757220089435577,High Risk
0.03794534783810377,Low Risk
0.9271915316581726,Critical Risk
0.7648647785186767,High Risk
0.9147458791732788,Critical Risk
0.08293747156858444,Low Risk
0.8469764590263367,Critical Risk
0.9111777067184448,Critical Risk
0.9229660630226135,Critical Risk
0.0,Low Risk
0.011691165715456009,Low Risk
0.8939897894859314,Critical Risk
0.0,Low Risk
0.9870951533317566,Critical Risk
1.0,Critical Risk
1.0,Critical Risk
0.9288699626922607,Critical Risk
0.3078531339764595,Medium Risk
0.7975605726242065,High Risk
0.6762504041194916,High Risk
0.37032413482666016,Medium Risk
0.9738207697868347,Critical Risk
0.07229667529463768,Low Risk
0.28271538615226743,Medium Risk
0.15078092515468597,Low Risk
0.04184842687100172,Low Risk
0.9253890514373779,Critical Risk
0.0,Low Risk
0.7200400173664093,High Risk
0.2041315272450447,Medium Risk
0.7138349056243897,High Risk
0.0,Low Risk
0.944752311706543,Critical Risk
0.5472720682621002,High Risk
0.13830366283655166,Low Risk
0.20930139422416688,Medium Risk
0.07804668247699738,Low Risk
0.5328922748565674,High Risk
0.7638825654983521,High Risk
0.16011544018983842,Low Risk
0.12954994887113572,Low Risk
0.08626234158873558,Low Risk
0.2592469215393066,Medium Risk
0.9601817846298217,Critical Risk
0.42390061914920807,Medium Risk
0.9345064282417297,Critical Risk
0.8652173757553101,Critical Risk
0.40392125844955445,Medium Risk
0.8533883213996887,Critical Risk
0.24585311114788055,Medium Risk
0.273736172914505,Medium Risk
0.43387605547904967,Medium Risk
0.8697773575782776,Critical Risk
0.20467996299266816,Medium Risk
0.051126663386821744,Low Risk
1.0,Critical Risk
0.15032711625099182,Low Risk
0.954661226272583,Critical Risk
0.045468321442604064,Low Risk
0.7232210755348205,High Risk
0.7408157348632812,High Risk
1.0,Critical Risk
1.0,Critical Risk
0.09465644508600235,Low Risk
0.08409414067864418,Low Risk
1.0,Critical Risk
0.4456936627626419,Medium Risk
0.26348409950733187,Medium Risk
0.22463656067848206,Medium Risk
0.1543397605419159,Low Risk
1.0,Critical Risk
0.23058836162090302,Medium Risk
1.0,Critical Risk
0.48699281811714173,Medium Risk
0.12665736004710199,Low Risk
0.161750191450119,Low Risk
0.36781002283096315,Medium Risk
0.12252401411533356,Low Risk
0.8171410202980042,Critical Risk
1.0,Critical Risk
0.6495206475257873,High Risk
0.43118809461593627,Medium Risk
0.10843440294265747,Low Risk
0.9850155115127563,Critical Risk
0.732468557357788,High Risk
0.946115779876709,Critical Risk
0.13324395269155503,Low Risk
0.8710652112960815,Critical Risk
0.9092325091361999,Critical Risk
0.04750585481524468,Low Risk
0.5749883651733398,High Risk
0.9557344555854798,Critical Risk
0.2317815199494362,Medium Risk
0.21767178922891617,Medium Risk
0.9740467071533203,Critical Risk
1.0,Critical Risk
0.8178306460380554,Critical Risk
0.4599746823310852,Medium Risk
0.1796167828142643,Low Risk
0.8772135019302368,Critical Risk
0.0,Low Risk
0.3016845047473907,Medium Risk
1.0,Critical Risk
0.46061365604400634,Medium Risk
0.741205883026123,High Risk
1.0,Critical Risk
0.9845200300216674,Critical Risk
0.24879761636257172,Medium Risk
0.5040687024593353,High Risk
0.0166688971221447,Low Risk
0.5354519844055176,High Risk
0.8130631923675538,Critical Risk
0.3216801643371582,Medium Risk
0.7853671312332153,High Risk
0.33683745563030243,Medium Risk
0.6309495449066163,High Risk
0.837049412727356,Critical Risk
0.8917690873146057,Critical Risk
0.9139976620674133,Critical Risk
0.3222298711538315,Medium Risk
0.08370499312877655,Low Risk
0.05750533863902092,Low Risk
0.11329279839992523,Low Risk
0.5352130591869354,High Risk
0.4283053159713745,Medium Risk
0.022761652991175652,Low Risk
0.058202677965164186,Low Risk
0.9050977945327758,Critical Risk
0.8926454663276673,Critical Risk
0.9990804553031921,Critical Risk
0.24381187111139296,Medium Risk
0.36881517469882963,Medium Risk
0.08863255381584167,Low Risk
1.0,Critical Risk
0.04029000792652369,Low Risk
0.07064187601208687,Low Risk
0.04543246012181044,Low Risk
0.0,Low Risk
0.679294741153717,High Risk
0.9424015760421753,Critical Risk
0.186585895717144,Low Risk
0.0,Low Risk
0.13893748298287392,Low Risk
0.9192135810852051,Critical Risk
0.0,Low Risk
0.7709095358848572,High Risk
0.9652109742164612,Critical Risk
0.9359421730041504,Critical Risk
0.1477860078215599,Low Risk
0.8302878975868225,Critical Risk
0.8646776080131531,Critical Risk
0.9558775067329407,Critical Risk
0.4493358224630356,Medium Risk
0.7595407009124756,High Risk
0.9413257241249084,Critical Risk
1.0,Critical Risk
0.46813088953495025,Medium Risk
0.943428909778595,Critical Risk
0.6516937494277955,High Risk
0.3447359800338745,Medium Risk
0.28833126872777937,Medium Risk
0.15576716065406798,Low Risk
0.5238276660442353,High Risk
0.528175437450409,High Risk
0.11294057667255401,Low Risk
0.8297166943550109,Critical Risk
0.7249963402748107,High Risk
1.0,Critical Risk
0.2436738818883896,Medium Risk
0.3722690463066101,Medium Risk
0.6542669236660004,High Risk
0.06299468576908111,Low Risk
0.08170195128768683,Low Risk
0.8329217553138732,Critical Risk
0.9571189522743225,Critical Risk
0.3248741030693054,Medium Risk
0.06344572752714157,Low Risk
0.9615304589271545,Critical Risk
1.0,Critical Risk
0.24420179724693297,Medium Risk
0.6137850344181061,High Risk
0.9660000681877137,Critical Risk
0.8350008368492127,Critical Risk
0.9409500598907471,Critical Risk
1.0,Critical Risk
0.2873194694519043,Medium Risk
0.14403355717658997,Low Risk
0.9875501275062561,Critical Risk
0.030989797413349153,Low Risk
0.8885498046875,Critical Risk
1.0,Critical Risk
0.5475102424621582,High Risk
0.9792708635330201,Critical Risk
0.404192128777504,Medium Risk
0.0,Low Risk
0.45711587071418763,Medium Risk
0.0,Low Risk
0.5293112576007843,High Risk
0.4412547588348389,Medium Risk
0.039707278832793236,Low Risk
0.34327065497636794,Medium Risk
1.0,Critical Risk
0.3359501868486404,Medium Risk
0.21830122768878937,Medium Risk
0.038323897123336795,Low Risk
0.051905957609415056,Low Risk
0.28016862869262693,Medium Risk
0.332801416516304,Medium Risk
0.411917644739151,Medium Risk
0.9698962211608887,Critical Risk
0.12021896578371524,Low Risk
0.8494160890579223,Critical Risk
0.013677312061190605,Low Risk
0.9048099398612977,Critical Risk
1.0,Critical Risk
0.615405148267746,High Risk
0.3295750081539154,Medium Risk
0.9179141283035278,Critical Risk
0.6181166052818299,High Risk
0.0559034988284111,Low Risk
0.3120883643627167,Medium Risk
0.742478483915329,High Risk
0.791089653968811,High Risk
0.8032984375953675,Critical Risk
0.22739730402827263,Medium Risk
0.2069602817296982,Medium Risk
0.5595709025859833,High Risk
0.07902518957853318,Low Risk
0.1536905750632286,Low Risk
1.0,Critical Risk
0.16475970596075057,Low Risk
1.0,Critical Risk
0.5999745666980744,High Risk
0.06971357204020023,Low Risk
1.0,Critical Risk
1.0,Critical Risk
0.49468802809715273,Medium Risk
1.0,Critical Risk
1.0,Critical Risk
0.07768311947584153,Low Risk
0.9653140306472778,Critical Risk
0.06423148065805435,Low Risk
0.25671379566192626,Medium Risk
0.5008831322193146,High Risk
0.964957880973816,Critical Risk
0.07248619645833969,Low Risk
0.05700011160224676,Low Risk
0.9475066542625428,Critical Risk
0.9437247514724731,Critical Risk
0.2869103938341141,Medium Risk
0.07894698902964592,Low Risk
0.45260705053806305,Medium Risk
0.5128428101539612,High Risk
0.5791087448596954,High Risk
0.8878070950508118,Critical Risk
0.9018680453300476,Critical Risk
1.0,Critical Risk
0.5949106574058532,High Risk
0.8919911742210388,Critical Risk
1.0,Critical Risk
0.9875501275062561,Critical Risk
0.07035306170582771,Low Risk
0.5158554553985596,High Risk
1.0,Critical Risk
0.36300999522209165,Medium Risk
0.48705445528030394,Medium Risk
0.004441707767546177,Low Risk
0.06893226429820061,Low Risk
0.10311924070119857,Low Risk
0.6402879238128663,High Risk
1.0,Critical Risk
0.45495997071266175,Medium Risk
1.0,Critical Risk
0.996505343914032,Critical Risk
0.931658124923706,Critical Risk
0.179329252243042,Low Risk
1.0,Critical Risk
0.11771554052829743,Low Risk
0.7674584031105042,High Risk
0.2317863494157791,Medium Risk
0.05300318673253059,Low Risk
1.0,Critical Risk
0.7214828073978424,High Risk
1.0,Critical Risk
0.43545444011688234,Medium Risk
0.09344105422496796,Low Risk
0.06862190142273902,Low Risk
0.3321016490459442,Medium Risk
0.9186265707015991,Critical Risk
0.32746684551239014,Medium Risk
0.6033560156822204,High Risk
0.24616256952285767,Medium Risk
0.8989394664764404,Critical Risk
0.03945745527744293,Low Risk
0.920878791809082,Critical Risk
0.9576876759529114,Critical Risk
0.030661790072917937,Low Risk
0.8590108633041382,Critical Risk
0.8622727394104004,Critical Risk
1.0,Critical Risk
1.0,Critical Risk
0.31031250953674316,Medium Risk
1.0,Critical Risk
0.23442545533180237,Medium Risk
0.06287674680352211,Low Risk
0.314005134999752,Medium Risk
0.782422399520874,High Risk
0.439814692735672,Medium Risk
1.0,Critical Risk
0.8404659390449524,Critical Risk
0.0,Low Risk
0.9687697529792786,Critical Risk
0.9740467190742492,Critical Risk
0.3495467960834503,Medium Risk
0.34999067783355714,Medium Risk
0.0,Low Risk
0.019435083493590355,Low Risk
0.6185385406017303,High Risk
0.14548390209674836,Low Risk
0.3442527800798416,Medium Risk
1.0,Critical Risk
0.8995163440704346,Critical Risk
0.7859601616859436,High Risk
0.13113439828157425,Low Risk
0.1949911966919899,Low Risk
0.726717209815979,High Risk
0.4473447620868683,Medium Risk
0.7027803301811218,High Risk
0.2470376819372177,Medium Risk
0.5458883702754974,High Risk
1.0,Critical Risk
0.5047543436288834,High Risk
0.6835903882980346,High Risk
0.938132107257843,Critical Risk
0.2775991439819336,Medium Risk
0.8047743678092957,Critical Risk
0.1836867392063141,Low Risk
0.26696328073740005,Medium Risk
0.21408794075250626,Medium Risk
0.19661979377269745,Low Risk
0.26234096884727476,Medium Risk
0.1852177768945694,Low Risk
0.9845200300216674,Critical Risk
0.9360110878944397,Critical Risk
0.6205037355422973,High Risk
1.0,Critical Risk
0.07178231589496135,Low Risk
0.8338057518005371,Critical Risk
0.07949542105197907,Low Risk
1.0,Critical Risk
0.8208596110343933,Critical Risk
0.753842294216156,High Risk
1.0,Critical Risk
0.0,Low Risk
0.41266959309577944,Medium Risk
0.09135583266615868,Low Risk
1.0,Critical Risk
0.8139283299446106,Critical Risk
0.08607086762785912,Low Risk
0.29891557097434995,Medium Risk
0.04129607304930687,Low Risk
0.10977215170860291,Low Risk
0.049563747644424436,Low Risk
0.9684719562530517,Critical Risk
1.0,Critical Risk
0.9642214775085449,Critical Risk
0.745497876405716,High Risk
0.8643262147903442,Critical Risk
0.15401581674814224,Low Risk
0.74947110414505,High Risk
0.0,Low Risk
0.06756080463528633,Low Risk
0.9097379207611084,Critical Risk
0.13999605029821396,Low Risk
0.15101221650838853,Low Risk
1.0,Critical Risk
0.46933104693889616,Medium Risk
0.9398914813995362,Critical Risk
0.020353185757994652,Low Risk
0.9710774540901184,Critical Risk
0.1815158262848854,Low Risk
1.0,Critical Risk
0.2977699518203735,Medium Risk
0.06400908976793289,Low Risk
1.0,Critical Risk
0.3666337996721268,Medium Risk
0.04639134854078293,Low Risk
0.8939898014068604,Critical Risk
0.7483705103397369,High Risk
0.10119446218013764,Low Risk
0.9475740551948547,Critical Risk
0.09657194390892983,Low Risk
1.0,Critical Risk
0.32158684730529785,Medium Risk
1.0,Critical Risk
0.9812290668487549,Critical Risk
0.11558771282434463,Low Risk
0.8621173739433289,Critical Risk
0.9620917677879334,Critical Risk
0.96820148229599,Critical Risk
0.8428300499916077,Critical Risk
0.06734736710786819,Low Risk
0.8620153546333313,Critical Risk
0.0,Low Risk
0.10706762969493866,Low Risk
0.015585115179419518,Low Risk
