,Historical Train (2015-2016),Future Test (2017),SHAP Attribution Shift
mode_hour_combo_te,1.7608159,1.6242082,0.13660765
Latitude,0.20237002,0.08855954,0.11381048
Order City,0.15079714,0.06617161,0.084625535
Order State,0.12430878,0.05130444,0.073004335
Order City_freq,0.14087123,0.06795974,0.072911486
order_dayofyear,0.12452535,0.053967375,0.07055798
Longitude,0.14338322,0.07987105,0.06351217
Order State_freq,0.10788947,0.053959556,0.053929918
Type,0.41984364,0.37460792,0.045235723
mode_hour_combo_freq,0.12264748,0.07906911,0.04357837
